# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	19443	22115	-							FAZ98_RS00090	2673		old_locus_tag=FAZ98_00090
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	19443	22115	-	WP_158947599.1	WP_158947599.1		DNA topoisomerase III			FAZ98_RS00090	2673	890	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	22479	22856	-							FAZ98_RS00095	378		old_locus_tag=FAZ98_00095
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	22479	22856	-	WP_158947601.1	WP_158947601.1		thioredoxin family protein			FAZ98_RS00095	378	125	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	22944	24419	-					dprA		FAZ98_RS00100	1476		old_locus_tag=FAZ98_00100
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	22944	24419	-	WP_158951802.1	WP_158951802.1		DNA-processing protein DprA	dprA		FAZ98_RS00100	1476	491	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	24786	25289	+					def		FAZ98_RS00105	504		old_locus_tag=FAZ98_00105
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	24786	25289	+	WP_158947603.1	WP_158947603.1		peptide deformylase	def		FAZ98_RS00105	504	167	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	25452	26459	+					fmt		FAZ98_RS00110	1008		old_locus_tag=FAZ98_00110
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	25452	26459	+	WP_158947605.1	WP_158947605.1		methionyl-tRNA formyltransferase	fmt		FAZ98_RS00110	1008	335	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	26589	27236	+							FAZ98_RS00115	648		old_locus_tag=FAZ98_00115
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	26589	27236	+	WP_158947607.1	WP_158947607.1		LysE family translocator			FAZ98_RS00115	648	215	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	27428	28282	+					htpX		FAZ98_RS00120	855		old_locus_tag=FAZ98_00120
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	27428	28282	+	WP_158947609.1	WP_158947609.1		zinc metalloprotease HtpX	htpX		FAZ98_RS00120	855	284	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	28387	29562	-							FAZ98_RS00125	1176		old_locus_tag=FAZ98_00125
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	28387	29562	-	WP_158947611.1	WP_158947611.1		hypothetical protein			FAZ98_RS00125	1176	391	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	29782	31254	+					rsmB		FAZ98_RS00130	1473		old_locus_tag=FAZ98_00130
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	29782	31254	+	WP_158947613.1	WP_158947613.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB		FAZ98_RS00130	1473	490	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	31251	31844	+							FAZ98_RS00135	594		old_locus_tag=FAZ98_00135
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	31251	31844	+	WP_158947615.1	WP_158947615.1		DUF4390 domain-containing protein			FAZ98_RS00135	594	197	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	31834	34281	+							FAZ98_RS00140	2448		old_locus_tag=FAZ98_00140
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	31834	34281	+	WP_158947617.1	WP_158947617.1		PAS domain-containing sensor histidine kinase			FAZ98_RS00140	2448	815	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	34282	34971	+					esaR		FAZ98_RS00145	690		old_locus_tag=FAZ98_00145
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	34282	34971	+	WP_158947619.1	WP_158947619.1		response regulator transcription factor EsaR	esaR		FAZ98_RS00145	690	229	
gene	tRNA	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	35057	35132	+							FAZ98_RS00150	76		old_locus_tag=FAZ98_00150
tRNA		GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	35057	35132	+				tRNA-Phe			FAZ98_RS00150	76		anticodon=GAA
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	35406	36137	+					queC		FAZ98_RS00155	732		old_locus_tag=FAZ98_00155
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	35406	36137	+	WP_158947621.1	WP_158947621.1		7-cyano-7-deazaguanine synthase QueC	queC		FAZ98_RS00155	732	243	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	36395	37027	+					queE		FAZ98_RS00160	633		old_locus_tag=FAZ98_00160
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	36395	37027	+	WP_158947623.1	WP_158947623.1		7-carboxy-7-deazaguanine synthase	queE		FAZ98_RS00160	633	210	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	37049	37492	+					queD		FAZ98_RS00165	444		old_locus_tag=FAZ98_00165
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	37049	37492	+	WP_158951803.1	WP_158951803.1		6-carboxytetrahydropterin synthase QueD	queD		FAZ98_RS00165	444	147	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	37821	38603	+							FAZ98_RS00170	783		old_locus_tag=FAZ98_00170
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	37821	38603	+	WP_158947625.1	WP_158947625.1		aldolase/citrate lyase family protein			FAZ98_RS00170	783	260	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	38600	39376	+							FAZ98_RS00175	777		old_locus_tag=FAZ98_00175
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	38600	39376	+	WP_158947627.1	WP_158947627.1		sel1 repeat family protein			FAZ98_RS00175	777	258	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	39460	40626	-					rodA		FAZ98_RS00180	1167		old_locus_tag=FAZ98_00180
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	39460	40626	-	WP_158947629.1	WP_158947629.1		rod shape-determining protein RodA	rodA		FAZ98_RS00180	1167	388	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	40637	43150	-					mrdA		FAZ98_RS00185	2514		old_locus_tag=FAZ98_00185
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	40637	43150	-	WP_233272625.1	WP_233272625.1		penicillin-binding protein 2	mrdA		FAZ98_RS00185	2514	837	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	43254	43766	-					mreD		FAZ98_RS00190	513		old_locus_tag=FAZ98_00190
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	43254	43766	-	WP_158947631.1	WP_158947631.1		rod shape-determining protein MreD	mreD		FAZ98_RS00190	513	170	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	43766	44875	-					mreC		FAZ98_RS00195	1110		old_locus_tag=FAZ98_00195
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	43766	44875	-	WP_158947633.1	WP_158947633.1		rod shape-determining protein MreC	mreC		FAZ98_RS00195	1110	369	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	45053	46096	-							FAZ98_RS00200	1044		old_locus_tag=FAZ98_00200
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	45053	46096	-	WP_004189550.1	WP_004189550.1		rod shape-determining protein			FAZ98_RS00200	1044	347	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	46566	46865	+					gatC		FAZ98_RS00205	300		old_locus_tag=FAZ98_00205
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	46566	46865	+	WP_028203206.1	WP_028203206.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	gatC		FAZ98_RS00205	300	99	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	47090	48580	+					gatA		FAZ98_RS00210	1491		old_locus_tag=FAZ98_00210
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	47090	48580	+	WP_158947635.1	WP_158947635.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	gatA		FAZ98_RS00210	1491	496	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	48584	50059	+					gatB		FAZ98_RS00215	1476		old_locus_tag=FAZ98_00215
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	48584	50059	+	WP_158947637.1	WP_158947637.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	gatB		FAZ98_RS00215	1476	491	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	50150	51022	+							FAZ98_RS00220	873		old_locus_tag=FAZ98_00220
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	50150	51022	+	WP_158947639.1	WP_158947639.1		polyphosphate kinase 2 family protein			FAZ98_RS00220	873	290	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	51133	51912	+							FAZ98_RS00225	780		old_locus_tag=FAZ98_00225
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	51133	51912	+	WP_158947641.1	WP_158947641.1		exodeoxyribonuclease III			FAZ98_RS00225	780	259	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	51944	52996	-							FAZ98_RS00230	1053		old_locus_tag=FAZ98_00230
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	51944	52996	-	WP_158951804.1	WP_158951804.1		M48 family metallopeptidase			FAZ98_RS00230	1053	350	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	53119	54513	-							FAZ98_RS00235	1395		old_locus_tag=FAZ98_00235
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	53119	54513	-	WP_158947643.1	WP_158947643.1		AmpG family muropeptide MFS transporter			FAZ98_RS00235	1395	464	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	54580	55188	-					metW		FAZ98_RS00240	609		old_locus_tag=FAZ98_00240
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	54580	55188	-	WP_158947645.1	WP_158947645.1		methionine biosynthesis protein MetW	metW		FAZ98_RS00240	609	202	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	55185	56330	-							FAZ98_RS00245	1146		old_locus_tag=FAZ98_00245
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	55185	56330	-	WP_158947647.1	WP_158947647.1		homoserine O-acetyltransferase			FAZ98_RS00245	1146	381	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	56627	57364	-					slmA		FAZ98_RS00250	738		old_locus_tag=FAZ98_00250
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	56627	57364	-	WP_158947649.1	WP_158947649.1		nucleoid occlusion factor SlmA	slmA		FAZ98_RS00250	738	245	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	57415	58167	-							FAZ98_RS00255	753		old_locus_tag=FAZ98_00255
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	57415	58167	-	WP_158947651.1	WP_158947651.1		pyrimidine 5'-nucleotidase			FAZ98_RS00255	753	250	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	58328	59227	-					argB		FAZ98_RS00260	900		old_locus_tag=FAZ98_00260
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	58328	59227	-	WP_158947653.1	WP_158947653.1		acetylglutamate kinase	argB		FAZ98_RS00260	900	299	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	59643	59885	+							FAZ98_RS00265	243		old_locus_tag=FAZ98_00265
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	59643	59885	+	WP_158947655.1	WP_158947655.1		cysteine-rich CWC family protein			FAZ98_RS00265	243	80	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	59958	61622	-							FAZ98_RS00270	1665		old_locus_tag=FAZ98_00270
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	59958	61622	-	WP_158947657.1	WP_158947657.1		hypothetical protein			FAZ98_RS00270	1665	554	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	61740	63206	+							FAZ98_RS00275	1467		old_locus_tag=FAZ98_00275
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	61740	63206	+	WP_158947659.1	WP_158947659.1		ATP-binding protein			FAZ98_RS00275	1467	488	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	63225	63767	+							FAZ98_RS00280	543		old_locus_tag=FAZ98_00280
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	63225	63767	+	WP_158947661.1	WP_158947661.1		response regulator transcription factor			FAZ98_RS00280	543	180	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	63922	65268	-					hslU		FAZ98_RS00285	1347		old_locus_tag=FAZ98_00285
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	63922	65268	-	WP_158947663.1	WP_158947663.1		ATP-dependent protease ATPase subunit HslU	hslU		FAZ98_RS00285	1347	448	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	65299	65835	-					hslV		FAZ98_RS00290	537		old_locus_tag=FAZ98_00290
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	65299	65835	-	WP_158947665.1	WP_158947665.1		ATP-dependent protease subunit HslV	hslV		FAZ98_RS00290	537	178	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	66201	66620	-					dksA		FAZ98_RS00295	420		old_locus_tag=FAZ98_00295
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	66201	66620	-	WP_158947667.1	WP_158947667.1		RNA polymerase-binding protein DksA	dksA		FAZ98_RS00295	420	139	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	67327	68451	-							FAZ98_RS00300	1125		old_locus_tag=FAZ98_00300
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	67327	68451	-	WP_199272307.1	WP_199272307.1		GTP-binding protein			FAZ98_RS00300	1125	374	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	68696	69898	-							FAZ98_RS00305	1203		old_locus_tag=FAZ98_00305
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	68696	69898	-	WP_158947671.1	WP_158947671.1		class I SAM-dependent rRNA methyltransferase			FAZ98_RS00305	1203	400	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	70209	71180	-					xerC		FAZ98_RS00310	972		old_locus_tag=FAZ98_00310
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	70209	71180	-	WP_158947673.1	WP_158947673.1		tyrosine recombinase XerC	xerC		FAZ98_RS00310	972	323	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	71244	71927	-							FAZ98_RS00315	684		old_locus_tag=FAZ98_00315
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	71244	71927	-	WP_158951805.1	WP_158951805.1		DUF484 family protein			FAZ98_RS00315	684	227	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	72075	72941	-					dapF		FAZ98_RS00320	867		old_locus_tag=FAZ98_00320
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	72075	72941	-	WP_158947675.1	WP_158947675.1		diaminopimelate epimerase	dapF		FAZ98_RS00320	867	288	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	72981	73865	-							FAZ98_RS00325	885		old_locus_tag=FAZ98_00325
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	72981	73865	-	WP_158947677.1	WP_158947677.1		lipid A biosynthesis lauroyl acyltransferase			FAZ98_RS00325	885	294	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	74137	75324	+					metK		FAZ98_RS00330	1188		old_locus_tag=FAZ98_00330
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	74137	75324	+	WP_158947679.1	WP_158947679.1		methionine adenosyltransferase	metK		FAZ98_RS00330	1188	395	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	75476	75832	-							FAZ98_RS00335	357		old_locus_tag=FAZ98_00335
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	75476	75832	-	WP_158947681.1	WP_158947681.1		hypothetical protein			FAZ98_RS00335	357	118	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	76461	77222	+							FAZ98_RS00340	762		old_locus_tag=FAZ98_00340
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	76461	77222	+	WP_158947683.1	WP_158947683.1		phytanoyl-CoA dioxygenase family protein			FAZ98_RS00340	762	253	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	77316	77522	-							FAZ98_RS00345	207		old_locus_tag=FAZ98_00345
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	77316	77522	-	WP_158947685.1	WP_158947685.1		DUF3185 family protein			FAZ98_RS00345	207	68	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	77827	78870	+					mgrA		FAZ98_RS00350	1044		old_locus_tag=FAZ98_00350
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	77827	78870	+	WP_158947687.1	WP_158947687.1		L-glyceraldehyde 3-phosphate reductase	mgrA		FAZ98_RS00350	1044	347	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	79062	80105	+							FAZ98_RS00355	1044		old_locus_tag=FAZ98_00355
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	79062	80105	+	WP_158947689.1	WP_158947689.1		fatty acid desaturase			FAZ98_RS00355	1044	347	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	80098	80283	-							FAZ98_RS00360	186		old_locus_tag=FAZ98_00360
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	80098	80283	-	WP_158947691.1	WP_158947691.1		hypothetical protein			FAZ98_RS00360	186	61	
gene	protein_coding	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	80639	81901	-							FAZ98_RS00365	1263		old_locus_tag=FAZ98_00365
CDS	with_protein	GCF_009789675.1	Primary Assembly	chromosome	1	NZ_CP046913.1	80639	81901	-	WP_158947693.1	WP_158947693.1		MFS transporter			FAZ98_RS00365	1263	420	
