# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	14464	15618	+	WP_013088032.1	WP_013088032.1		pyridoxal phosphate-dependent aminotransferase			BC1002_RS00060	1155	384	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	15683	16477	+							BC1002_RS00065	795		old_locus_tag=BC1002_0012
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	15683	16477	+	WP_013088033.1	WP_013088033.1		ABC transporter substrate-binding protein			BC1002_RS00065	795	264	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	16619	17485	+							BC1002_RS00070	867		old_locus_tag=BC1002_0013
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	16619	17485	+	WP_013088034.1	WP_013088034.1		AraC family transcriptional regulator			BC1002_RS00070	867	288	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	17535	18122	-							BC1002_RS00075	588		old_locus_tag=BC1002_0014
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	17535	18122	-	WP_013088035.1	WP_013088035.1		LysE family translocator			BC1002_RS00075	588	195	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	18557	18838	+							BC1002_RS00080	282		old_locus_tag=BC1002_0015
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	18557	18838	+	WP_041734235.1	WP_041734235.1		hypothetical protein			BC1002_RS00080	282	93	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	18865	20382	+							BC1002_RS00085	1518		old_locus_tag=BC1002_0016
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	18865	20382	+	WP_013088037.1	WP_013088037.1		sensor domain-containing diguanylate cyclase			BC1002_RS00085	1518	505	
gene	tRNA	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	20457	20532	-							BC1002_RS00090	76		old_locus_tag=BC1002_R0001
tRNA		GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	20457	20532	-				tRNA-Lys			BC1002_RS00090	76		anticodon=CTT
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	20735	21139	+							BC1002_RS00095	405		old_locus_tag=BC1002_0017
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	20735	21139	+	WP_013088038.1	WP_013088038.1		PaaI family thioesterase			BC1002_RS00095	405	134	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	21214	22092	+							BC1002_RS00100	879		old_locus_tag=BC1002_0018
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	21214	22092	+	WP_013088039.1	WP_013088039.1		patatin-like phospholipase family protein			BC1002_RS00100	879	292	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	22151	23164	-							BC1002_RS00105	1014		old_locus_tag=BC1002_0019
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	22151	23164	-	WP_013088040.1	WP_013088040.1		D-2-hydroxyacid dehydrogenase family protein			BC1002_RS00105	1014	337	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	23550	25406	+							BC1002_RS00110	1857		old_locus_tag=BC1002_0020
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	23550	25406	+	WP_013088041.1	WP_013088041.1		phosphoenolpyruvate carboxykinase (GTP)			BC1002_RS00110	1857	618	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	25423	25710	-							BC1002_RS37540	288		
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	25423	25710	-	WP_157874627.1	WP_157874627.1		hypothetical protein			BC1002_RS37540	288	95	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	25750	26853	+							BC1002_RS00115	1104		old_locus_tag=BC1002_0021
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	25750	26853	+	WP_013088042.1	WP_013088042.1		LysR family transcriptional regulator			BC1002_RS00115	1104	367	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	27049	29715	-							BC1002_RS00120	2667		old_locus_tag=BC1002_0022
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	27049	29715	-	WP_041734236.1	WP_041734236.1		DNA topoisomerase III			BC1002_RS00120	2667	888	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	30026	30403	-							BC1002_RS00125	378		old_locus_tag=BC1002_0023
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	30026	30403	-	WP_013088044.1	WP_013088044.1		thioredoxin family protein			BC1002_RS00125	378	125	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	30505	31734	-					dprA		BC1002_RS00130	1230		old_locus_tag=BC1002_0024
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	30505	31734	-	WP_013088045.1	WP_013088045.1		DNA-processing protein DprA	dprA		BC1002_RS00130	1230	409	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	32012	32515	+					def		BC1002_RS00135	504		old_locus_tag=BC1002_0025
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	32012	32515	+	WP_013088046.1	WP_013088046.1		peptide deformylase	def		BC1002_RS00135	504	167	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	32545	33540	+					fmt		BC1002_RS00140	996		old_locus_tag=BC1002_0026
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	32545	33540	+	WP_013088047.1	WP_013088047.1		methionyl-tRNA formyltransferase	fmt		BC1002_RS00140	996	331	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	33658	34299	+							BC1002_RS00145	642		old_locus_tag=BC1002_0027
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	33658	34299	+	WP_013088048.1	WP_013088048.1		LysE family translocator			BC1002_RS00145	642	213	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	34404	35261	+					htpX		BC1002_RS00150	858		old_locus_tag=BC1002_0028
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	34404	35261	+	WP_013088049.1	WP_013088049.1		zinc metalloprotease HtpX	htpX		BC1002_RS00150	858	285	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	35461	36900	+					rsmB		BC1002_RS00155	1440		old_locus_tag=BC1002_0029
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	35461	36900	+	WP_013088050.1	WP_013088050.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB		BC1002_RS00155	1440	479	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	36897	37496	+							BC1002_RS00160	600		old_locus_tag=BC1002_0030
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	36897	37496	+	WP_013088051.1	WP_013088051.1		DUF4390 domain-containing protein			BC1002_RS00160	600	199	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	37486	39912	+							BC1002_RS00165	2427		old_locus_tag=BC1002_0031
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	37486	39912	+	WP_013088052.1	WP_013088052.1		PAS domain-containing sensor histidine kinase			BC1002_RS00165	2427	808	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	39913	40602	+					esaR		BC1002_RS00170	690		old_locus_tag=BC1002_0032
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	39913	40602	+	WP_013088053.1	WP_013088053.1		response regulator transcription factor EsaR	esaR		BC1002_RS00170	690	229	
gene	tRNA	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	40697	40772	+							BC1002_RS00175	76		old_locus_tag=BC1002_R0002
tRNA		GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	40697	40772	+				tRNA-Phe			BC1002_RS00175	76		anticodon=GAA
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	41165	41896	+					queC		BC1002_RS00180	732		old_locus_tag=BC1002_0033
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	41165	41896	+	WP_026228978.1	WP_026228978.1		7-cyano-7-deazaguanine synthase QueC	queC		BC1002_RS00180	732	243	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	41951	42583	+					queE		BC1002_RS00185	633		old_locus_tag=BC1002_0034
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	41951	42583	+	WP_013088055.1	WP_013088055.1		7-carboxy-7-deazaguanine synthase	queE		BC1002_RS00185	633	210	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	42593	43036	+					queD		BC1002_RS00190	444		old_locus_tag=BC1002_0035
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	42593	43036	+	WP_085954272.1	WP_085954272.1		6-carboxytetrahydropterin synthase QueD	queD		BC1002_RS00190	444	147	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	43240	44022	+							BC1002_RS00195	783		old_locus_tag=BC1002_0036
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	43240	44022	+	WP_013088057.1	WP_013088057.1		aldolase/citrate lyase family protein			BC1002_RS00195	783	260	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	44019	44753	+							BC1002_RS00200	735		old_locus_tag=BC1002_0037
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	44019	44753	+	WP_013088058.1	WP_013088058.1		sel1 repeat family protein			BC1002_RS00200	735	244	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	44835	45983	-					rodA		BC1002_RS00205	1149		old_locus_tag=BC1002_0038
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	44835	45983	-	WP_013088059.1	WP_013088059.1		rod shape-determining protein RodA	rodA		BC1002_RS00205	1149	382	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	45994	48369	-					mrdA		BC1002_RS00210	2376		old_locus_tag=BC1002_0039
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	45994	48369	-	WP_013088060.1	WP_013088060.1		penicillin-binding protein 2	mrdA		BC1002_RS00210	2376	791	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	48449	48961	-					mreD		BC1002_RS00215	513		old_locus_tag=BC1002_0040
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	48449	48961	-	WP_013088061.1	WP_013088061.1		rod shape-determining protein MreD	mreD		BC1002_RS00215	513	170	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	48958	50094	-					mreC		BC1002_RS00220	1137		old_locus_tag=BC1002_0041
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	48958	50094	-	WP_013088062.1	WP_013088062.1		rod shape-determining protein MreC	mreC		BC1002_RS00220	1137	378	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	50249	51292	-							BC1002_RS00225	1044		old_locus_tag=BC1002_0042
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	50249	51292	-	WP_004189550.1	WP_004189550.1		rod shape-determining protein			BC1002_RS00225	1044	347	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	51667	51966	+					gatC		BC1002_RS00230	300		old_locus_tag=BC1002_0043
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	51667	51966	+	WP_013088063.1	WP_013088063.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	gatC		BC1002_RS00230	300	99	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	52125	53612	+					gatA		BC1002_RS00235	1488		old_locus_tag=BC1002_0044
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	52125	53612	+	WP_013088064.1	WP_013088064.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	gatA		BC1002_RS00235	1488	495	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	53618	55093	+					gatB		BC1002_RS00240	1476		old_locus_tag=BC1002_0045
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	53618	55093	+	WP_013088065.1	WP_013088065.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	gatB		BC1002_RS00240	1476	491	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	55203	56042	+							BC1002_RS00245	840		old_locus_tag=BC1002_0046
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	55203	56042	+	WP_013088066.1	WP_013088066.1		polyphosphate kinase			BC1002_RS00245	840	279	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	56095	56874	+							BC1002_RS00250	780		old_locus_tag=BC1002_0047
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	56095	56874	+	WP_013088067.1	WP_013088067.1		exodeoxyribonuclease III			BC1002_RS00250	780	259	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	56936	58234	-							BC1002_RS35935	1299		old_locus_tag=BC1002_0048
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	56936	58234	-	WP_083788660.1	WP_083788660.1		M48 family metallopeptidase			BC1002_RS35935	1299	432	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	58216	59610	-							BC1002_RS00260	1395		old_locus_tag=BC1002_0049
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	58216	59610	-	WP_013088069.1	WP_013088069.1		AmpG family muropeptide MFS transporter			BC1002_RS00260	1395	464	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	59625	60233	-					metW		BC1002_RS00265	609		old_locus_tag=BC1002_0050
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	59625	60233	-	WP_013088070.1	WP_013088070.1		methionine biosynthesis protein MetW	metW		BC1002_RS00265	609	202	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	60230	61375	-							BC1002_RS00270	1146		old_locus_tag=BC1002_0051
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	60230	61375	-	WP_013088071.1	WP_013088071.1		homoserine O-acetyltransferase			BC1002_RS00270	1146	381	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	61696	62406	-					slmA		BC1002_RS00275	711		old_locus_tag=BC1002_0052
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	61696	62406	-	WP_013088072.1	WP_013088072.1		nucleoid occlusion factor SlmA	slmA		BC1002_RS00275	711	236	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	62448	63215	-							BC1002_RS00280	768		old_locus_tag=BC1002_0053
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	62448	63215	-	WP_013088073.1	WP_013088073.1		pyrimidine 5'-nucleotidase			BC1002_RS00280	768	255	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	63379	64278	-					argB		BC1002_RS00285	900		old_locus_tag=BC1002_0054
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	63379	64278	-	WP_013088074.1	WP_013088074.1		acetylglutamate kinase	argB		BC1002_RS00285	900	299	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	64545	64772	+							BC1002_RS35940	228		old_locus_tag=BC1002_0055
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	64545	64772	+	WP_083788661.1	WP_083788661.1		cysteine-rich CWC family protein			BC1002_RS35940	228	75	
gene	pseudogene	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	64807	66439	-							BC1002_RS00290	1633		pseudo;old_locus_tag=BC1002_0056
CDS	without_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	64807	66439	-				tetratricopeptide repeat protein			BC1002_RS00290	1633		pseudo
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	66566	67876	+							BC1002_RS00295	1311		old_locus_tag=BC1002_0057
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	66566	67876	+	WP_013088075.1	WP_013088075.1		ATP-binding protein			BC1002_RS00295	1311	436	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	67873	68415	+							BC1002_RS00300	543		old_locus_tag=BC1002_0058
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	67873	68415	+	WP_013088076.1	WP_013088076.1		response regulator transcription factor			BC1002_RS00300	543	180	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	68507	69853	-					hslU		BC1002_RS00305	1347		old_locus_tag=BC1002_0059
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	68507	69853	-	WP_013088077.1	WP_013088077.1		ATP-dependent protease ATPase subunit HslU	hslU		BC1002_RS00305	1347	448	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	69863	70399	-					hslV		BC1002_RS00310	537		old_locus_tag=BC1002_0060
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	69863	70399	-	WP_013088078.1	WP_013088078.1		ATP-dependent protease subunit HslV	hslV		BC1002_RS00310	537	178	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	70739	71158	-					dksA		BC1002_RS00315	420		old_locus_tag=BC1002_0061
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	70739	71158	-	WP_008923580.1	WP_008923580.1		RNA polymerase-binding protein DksA	dksA		BC1002_RS00315	420	139	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	71840	72940	-							BC1002_RS00320	1101		old_locus_tag=BC1002_0062
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	71840	72940	-	WP_041734239.1	WP_041734239.1		GTP-binding protein			BC1002_RS00320	1101	366	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	73175	74377	-							BC1002_RS00325	1203		old_locus_tag=BC1002_0063
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	73175	74377	-	WP_013088080.1	WP_013088080.1		class I SAM-dependent rRNA methyltransferase			BC1002_RS00325	1203	400	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	74439	75362	-					xerC		BC1002_RS00330	924		old_locus_tag=BC1002_0064
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	74439	75362	-	WP_013088081.1	WP_013088081.1		tyrosine recombinase XerC	xerC		BC1002_RS00330	924	307	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	75386	76144	-							BC1002_RS00335	759		old_locus_tag=BC1002_0065
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	75386	76144	-	WP_013088082.1	WP_013088082.1		DUF484 family protein			BC1002_RS00335	759	252	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	76202	77137	-					dapF		BC1002_RS00340	936		old_locus_tag=BC1002_0066
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	76202	77137	-	WP_041734482.1	WP_041734482.1		diaminopimelate epimerase	dapF		BC1002_RS00340	936	311	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	77367	78251	-							BC1002_RS00345	885		old_locus_tag=BC1002_0067
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	77367	78251	-	WP_013088084.1	WP_013088084.1		lipid A biosynthesis lauroyl acyltransferase			BC1002_RS00345	885	294	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	78534	79721	+					metK		BC1002_RS00350	1188		old_locus_tag=BC1002_0068
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	78534	79721	+	WP_013088085.1	WP_013088085.1		methionine adenosyltransferase	metK		BC1002_RS00350	1188	395	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	79929	80291	-							BC1002_RS00355	363		old_locus_tag=BC1002_0069
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	79929	80291	-	WP_013088086.1	WP_013088086.1		hypothetical protein			BC1002_RS00355	363	120	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	80807	81568	+							BC1002_RS00360	762		old_locus_tag=BC1002_0070
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	80807	81568	+	WP_013088087.1	WP_013088087.1		phytanoyl-CoA dioxygenase family protein			BC1002_RS00360	762	253	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	81600	81806	-							BC1002_RS00365	207		old_locus_tag=BC1002_0071
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	81600	81806	-	WP_013088088.1	WP_013088088.1		DUF3185 family protein			BC1002_RS00365	207	68	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	82034	83077	+					mgrA		BC1002_RS00370	1044		old_locus_tag=BC1002_0072
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	82034	83077	+	WP_013088089.1	WP_013088089.1		L-glyceraldehyde 3-phosphate reductase	mgrA		BC1002_RS00370	1044	347	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	83178	83360	-							BC1002_RS00375	183		old_locus_tag=BC1002_0073
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	83178	83360	-	WP_008923386.1	WP_008923386.1		hypothetical protein			BC1002_RS00375	183	60	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	83645	84922	-							BC1002_RS00380	1278		old_locus_tag=BC1002_0075
CDS	with_protein	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	83645	84922	-	WP_013088091.1	WP_013088091.1		MFS transporter			BC1002_RS00380	1278	425	
gene	protein_coding	GCF_000092885.1	Primary Assembly	chromosome	1	NC_014117.1	85057	86616	-							BC1002_RS00385	1560		old_locus_tag=BC1002_0076
