# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	18861	20381	-							FAZ97_RS00080	1521		old_locus_tag=FAZ97_00080
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	18861	20381	-	WP_158756625.1	WP_158756625.1		aldehyde dehydrogenase family protein			FAZ97_RS00080	1521	506	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	20718	20912	+							FAZ97_RS00085	195		old_locus_tag=FAZ97_00085
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	20718	20912	+	WP_069264575.1	WP_069264575.1		hypothetical protein			FAZ97_RS00085	195	64	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	20923	21243	-							FAZ97_RS00090	321		old_locus_tag=FAZ97_00090
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	20923	21243	-	WP_233271597.1	WP_233271597.1		hypothetical protein			FAZ97_RS00090	321	106	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	21600	21857	+							FAZ97_RS00095	258		old_locus_tag=FAZ97_00095
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	21600	21857	+	WP_158756626.1	WP_158756626.1		hypothetical protein			FAZ97_RS00095	258	85	
gene	tRNA	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	21934	22009	-							FAZ97_RS00100	76		old_locus_tag=FAZ97_00100
tRNA		GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	21934	22009	-				tRNA-Lys			FAZ97_RS00100	76		anticodon=CTT
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	22293	22697	+							FAZ97_RS00105	405		old_locus_tag=FAZ97_00105
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	22293	22697	+	WP_158756627.1	WP_158756627.1		PaaI family thioesterase			FAZ97_RS00105	405	134	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	22746	23624	+							FAZ97_RS00110	879		old_locus_tag=FAZ97_00110
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	22746	23624	+	WP_158756628.1	WP_158756628.1		patatin-like phospholipase family protein			FAZ97_RS00110	879	292	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	23697	24710	-							FAZ97_RS00115	1014		old_locus_tag=FAZ97_00115
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	23697	24710	-	WP_158756629.1	WP_158756629.1		D-2-hydroxyacid dehydrogenase family protein			FAZ97_RS00115	1014	337	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	25139	26989	+							FAZ97_RS00120	1851		old_locus_tag=FAZ97_00120
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	25139	26989	+	WP_158756630.1	WP_158756630.1		phosphoenolpyruvate carboxykinase (GTP)			FAZ97_RS00120	1851	616	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	27304	28413	+							FAZ97_RS00125	1110		old_locus_tag=FAZ97_00125
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	27304	28413	+	WP_158756631.1	WP_158756631.1		LysR family transcriptional regulator			FAZ97_RS00125	1110	369	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	28528	31185	-							FAZ97_RS00130	2658		old_locus_tag=FAZ97_00130
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	28528	31185	-	WP_158756632.1	WP_158756632.1		DNA topoisomerase III			FAZ97_RS00130	2658	885	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	31443	31820	-							FAZ97_RS00135	378		old_locus_tag=FAZ97_00135
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	31443	31820	-	WP_158756633.1	WP_158756633.1		thioredoxin family protein			FAZ97_RS00135	378	125	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	31926	33167	-					dprA		FAZ97_RS00140	1242		old_locus_tag=FAZ97_00140
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	31926	33167	-	WP_158756634.1	WP_158756634.1		DNA-processing protein DprA	dprA		FAZ97_RS00140	1242	413	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	33452	33955	+					def		FAZ97_RS00145	504		old_locus_tag=FAZ97_00145
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	33452	33955	+	WP_158756635.1	WP_158756635.1		peptide deformylase	def		FAZ97_RS00145	504	167	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	34022	35017	+					fmt		FAZ97_RS00150	996		old_locus_tag=FAZ97_00150
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	34022	35017	+	WP_158756636.1	WP_158756636.1		methionyl-tRNA formyltransferase	fmt		FAZ97_RS00150	996	331	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	35128	35778	+							FAZ97_RS00155	651		old_locus_tag=FAZ97_00155
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	35128	35778	+	WP_158756637.1	WP_158756637.1		LysE family translocator			FAZ97_RS00155	651	216	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	35906	36760	+					htpX		FAZ97_RS00160	855		old_locus_tag=FAZ97_00160
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	35906	36760	+	WP_158756638.1	WP_158756638.1		zinc metalloprotease HtpX	htpX		FAZ97_RS00160	855	284	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	36806	38221	-							FAZ97_RS00165	1416		old_locus_tag=FAZ97_00165
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	36806	38221	-	WP_158756639.1	WP_158756639.1		hypothetical protein			FAZ97_RS00165	1416	471	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	38233	39771	+					rsmB		FAZ97_RS00170	1539		old_locus_tag=FAZ97_00170
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	38233	39771	+	WP_158756640.1	WP_158756640.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB		FAZ97_RS00170	1539	512	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	39768	40361	+							FAZ97_RS00175	594		old_locus_tag=FAZ97_00175
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	39768	40361	+	WP_158756641.1	WP_158756641.1		DUF4390 domain-containing protein			FAZ97_RS00175	594	197	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	40351	42792	+							FAZ97_RS00180	2442		old_locus_tag=FAZ97_00180
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	40351	42792	+	WP_158756642.1	WP_158756642.1		PAS domain-containing sensor histidine kinase			FAZ97_RS00180	2442	813	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	42793	43497	+					esaR		FAZ97_RS00185	705		old_locus_tag=FAZ97_00185
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	42793	43497	+	WP_158756643.1	WP_158756643.1		response regulator transcription factor EsaR	esaR		FAZ97_RS00185	705	234	
gene	tRNA	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	43603	43678	+							FAZ97_RS00190	76		old_locus_tag=FAZ97_00190
tRNA		GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	43603	43678	+				tRNA-Phe			FAZ97_RS00190	76		anticodon=GAA
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	43935	44666	+					queC		FAZ97_RS00195	732		old_locus_tag=FAZ97_00195
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	43935	44666	+	WP_158756644.1	WP_158756644.1		7-cyano-7-deazaguanine synthase QueC	queC		FAZ97_RS00195	732	243	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	44819	45451	+					queE		FAZ97_RS00200	633		old_locus_tag=FAZ97_00200
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	44819	45451	+	WP_158756645.1	WP_158756645.1		7-carboxy-7-deazaguanine synthase	queE		FAZ97_RS00200	633	210	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	45483	45926	+					queD		FAZ97_RS00205	444		old_locus_tag=FAZ97_00205
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	45483	45926	+	WP_110854557.1	WP_110854557.1		6-carboxytetrahydropterin synthase QueD	queD		FAZ97_RS00205	444	147	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	46176	46958	+							FAZ97_RS00210	783		old_locus_tag=FAZ97_00210
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	46176	46958	+	WP_158756646.1	WP_158756646.1		aldolase/citrate lyase family protein			FAZ97_RS00210	783	260	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	47069	47719	+							FAZ97_RS00215	651		old_locus_tag=FAZ97_00215
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	47069	47719	+	WP_233271693.1	WP_233271693.1		sel1 repeat family protein			FAZ97_RS00215	651	216	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	47831	48997	-					rodA		FAZ97_RS00220	1167		old_locus_tag=FAZ97_00220
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	47831	48997	-	WP_158756648.1	WP_158756648.1		rod shape-determining protein RodA	rodA		FAZ97_RS00220	1167	388	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	49007	51475	-					mrdA		FAZ97_RS00225	2469		old_locus_tag=FAZ97_00225
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	49007	51475	-	WP_158756649.1	WP_158756649.1		penicillin-binding protein 2	mrdA		FAZ97_RS00225	2469	822	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	51576	52088	-					mreD		FAZ97_RS00230	513		old_locus_tag=FAZ97_00230
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	51576	52088	-	WP_158756650.1	WP_158756650.1		rod shape-determining protein MreD	mreD		FAZ97_RS00230	513	170	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	52088	53206	-					mreC		FAZ97_RS00235	1119		old_locus_tag=FAZ97_00235
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	52088	53206	-	WP_158756651.1	WP_158756651.1		rod shape-determining protein MreC	mreC		FAZ97_RS00235	1119	372	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	53398	54441	-							FAZ97_RS00240	1044		old_locus_tag=FAZ97_00240
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	53398	54441	-	WP_004189550.1	WP_004189550.1		rod shape-determining protein			FAZ97_RS00240	1044	347	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	54871	55170	+					gatC		FAZ97_RS00245	300		old_locus_tag=FAZ97_00245
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	54871	55170	+	WP_028203206.1	WP_028203206.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	gatC		FAZ97_RS00245	300	99	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	55364	56854	+					gatA		FAZ97_RS00250	1491		old_locus_tag=FAZ97_00250
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	55364	56854	+	WP_158756652.1	WP_158756652.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	gatA		FAZ97_RS00250	1491	496	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	56857	58332	+					gatB		FAZ97_RS00255	1476		old_locus_tag=FAZ97_00255
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	56857	58332	+	WP_158756653.1	WP_158756653.1		Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	gatB		FAZ97_RS00255	1476	491	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	58477	59313	+							FAZ97_RS00260	837		old_locus_tag=FAZ97_00260
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	58477	59313	+	WP_158756654.1	WP_158756654.1		polyphosphate kinase 2 family protein			FAZ97_RS00260	837	278	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	59398	60177	+							FAZ97_RS00265	780		old_locus_tag=FAZ97_00265
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	59398	60177	+	WP_158756655.1	WP_158756655.1		exodeoxyribonuclease III			FAZ97_RS00265	780	259	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	60209	61354	-							FAZ97_RS00270	1146		old_locus_tag=FAZ97_00270
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	60209	61354	-	WP_233271598.1	WP_233271598.1		M48 family metallopeptidase			FAZ97_RS00270	1146	381	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	61351	62745	-							FAZ97_RS00275	1395		old_locus_tag=FAZ97_00275
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	61351	62745	-	WP_158759001.1	WP_158759001.1		AmpG family muropeptide MFS transporter			FAZ97_RS00275	1395	464	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	62827	63435	-					metW		FAZ97_RS00280	609		old_locus_tag=FAZ97_00280
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	62827	63435	-	WP_112170109.1	WP_112170109.1		methionine biosynthesis protein MetW	metW		FAZ97_RS00280	609	202	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	63432	64577	-							FAZ97_RS00285	1146		old_locus_tag=FAZ97_00285
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	63432	64577	-	WP_158756656.1	WP_158756656.1		homoserine O-acetyltransferase			FAZ97_RS00285	1146	381	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	64873	65463	-							FAZ97_RS00290	591		old_locus_tag=FAZ97_00290
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	64873	65463	-	WP_158756657.1	WP_158756657.1		HdeD family acid-resistance protein			FAZ97_RS00290	591	196	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	65524	66210	-					slmA		FAZ97_RS00295	687		old_locus_tag=FAZ97_00295
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	65524	66210	-	WP_158756658.1	WP_158756658.1		nucleoid occlusion factor SlmA	slmA		FAZ97_RS00295	687	228	
gene	pseudogene	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	66241	66933	-							FAZ97_RS00300	693		partial;pseudo;old_locus_tag=FAZ97_00300
CDS	without_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	66241	66933	-				pyrimidine 5'-nucleotidase			FAZ97_RS00300	693		partial;pseudo
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	67082	67981	-					argB		FAZ97_RS00305	900		old_locus_tag=FAZ97_00305
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	67082	67981	-	WP_028203194.1	WP_028203194.1		acetylglutamate kinase	argB		FAZ97_RS00305	900	299	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	68346	68552	+							FAZ97_RS00310	207		old_locus_tag=FAZ97_00310
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	68346	68552	+	WP_233271694.1	WP_233271694.1		cysteine-rich CWC family protein			FAZ97_RS00310	207	68	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	68542	70191	-							FAZ97_RS00315	1650		old_locus_tag=FAZ97_00315
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	68542	70191	-	WP_158756661.1	WP_158756661.1		hypothetical protein			FAZ97_RS00315	1650	549	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	70309	71754	+							FAZ97_RS00320	1446		old_locus_tag=FAZ97_00320
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	70309	71754	+	WP_158756662.1	WP_158756662.1		ATP-binding protein			FAZ97_RS00320	1446	481	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	71773	72315	+							FAZ97_RS00325	543		old_locus_tag=FAZ97_00325
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	71773	72315	+	WP_028203192.1	WP_028203192.1		response regulator transcription factor			FAZ97_RS00325	543	180	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	72383	73732	-					hslU		FAZ97_RS00330	1350		old_locus_tag=FAZ97_00330
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	72383	73732	-	WP_158756663.1	WP_158756663.1		ATP-dependent protease ATPase subunit HslU	hslU		FAZ97_RS00330	1350	449	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	73770	74306	-					hslV		FAZ97_RS00335	537		old_locus_tag=FAZ97_00335
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	73770	74306	-	WP_158756664.1	WP_158756664.1		ATP-dependent protease subunit HslV	hslV		FAZ97_RS00335	537	178	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	74670	75089	-					dksA		FAZ97_RS00340	420		old_locus_tag=FAZ97_00340
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	74670	75089	-	WP_028203189.1	WP_028203189.1		RNA polymerase-binding protein DksA	dksA		FAZ97_RS00340	420	139	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	75697	76770	-							FAZ97_RS00345	1074		old_locus_tag=FAZ97_00345
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	75697	76770	-	WP_199272084.1	WP_199272084.1		GTP-binding protein			FAZ97_RS00345	1074	357	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	76980	78182	-							FAZ97_RS00350	1203		old_locus_tag=FAZ97_00350
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	76980	78182	-	WP_158756666.1	WP_158756666.1		class I SAM-dependent rRNA methyltransferase			FAZ97_RS00350	1203	400	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	78258	79196	-					xerC		FAZ97_RS00355	939		old_locus_tag=FAZ97_00355
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	78258	79196	-	WP_158756667.1	WP_158756667.1		tyrosine recombinase XerC	xerC		FAZ97_RS00355	939	312	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	79218	79901	-							FAZ97_RS00360	684		old_locus_tag=FAZ97_00360
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	79218	79901	-	WP_158756668.1	WP_158756668.1		DUF484 family protein			FAZ97_RS00360	684	227	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	80041	80907	-					dapF		FAZ97_RS00365	867		old_locus_tag=FAZ97_00365
CDS	with_protein	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	80041	80907	-	WP_158756669.1	WP_158756669.1		diaminopimelate epimerase	dapF		FAZ97_RS00365	867	288	
gene	protein_coding	GCF_009789655.1	Primary Assembly	chromosome	1	NZ_CP046909.1	80966	81853	-							FAZ97_RS00370	888		old_locus_tag=FAZ97_00370
